network_frequency,rn_w_tracker_outstanding,share_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_r_tracker_outstanding,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,eject_queues_len,inject_queues_len,Topo
2,24,64,35.69265625,9366.65626,19944,28,64,54.3097837,986.0179924,5034,46063,90.00243995,8,2,5x4
2,64,64,47.13153402,95.18073242,957,24,64,46.09702447,2761.26526,10505,35536,93.22855849,8,2,4x9
2,24,64,35.902268,9533.722041,20336,28,64,55.1499779,975.6507359,4579,45794,91.0522459,8,2,4x5
2,64,64,48.78401108,75.91032227,1150,24,64,47.4940267,2582.923217,9558,34483,96.27803779,8,2,9x4
2,28,64,36.34266448,9357.620576,19721,28,64,55.22132571,952.2389816,4541,45242,91.56399019,8,2,5x4
2,28,64,36.30642409,9424.232744,19849,28,64,54.84415892,970.5347518,4743,45286,91.15058301,8,2,4x5
2,68,64,47.75013489,89.9312207,883,24,64,46.16393443,2730.130741,10456,35485,93.91406932,8,2,4x9
2,32,64,36.16457708,9300.20959,19477,28,64,55.04890548,952.7893091,4633,45464,91.21348256,8,2,5x4
2,32,64,35.81828516,9484.43459,20435,28,64,55.1499779,981.422891,4579,45901,90.96826306,8,2,4x5
2,68,64,49.2333394,74.93320313,1076,24,64,47.61811937,2583.685369,9487,34394,96.85145877,8,2,9x4
2,72,64,48.96035402,98.38335938,928,24,64,46.1534259,2724.875779,10472,35493,95.11377993,8,2,4x9
2,36,64,36.2333584,9261.508154,19384,28,64,55.21944577,973.9788707,4542,45378,91.45280417,8,2,5x4
2,36,64,36.05316433,9456.748516,20159,28,64,54.79043373,979.9879064,4772,45603,90.84359806,8,2,4x5
2,72,64,50.13464336,73.97068359,1220,24,64,47.46206291,2595.036764,9598,34506,97.59670628,8,2,9x4
2,24,64,48.347073,181.5353027,2361,28,64,48.11676061,2401.492405,12896,34059,96.46383361,8,2,4x9
2,40,64,36.32493792,9290.115947,19451,28,64,54.99664327,955.3888988,4661,45264,91.32158119,8,2,5x4
2,40,64,36.10719323,9429.119102,20112,28,64,54.86270928,985.4025114,4733,45535,90.96990251,8,2,4x5
2,28,64,48.40993501,191.6196191,2305,28,64,48.17964712,2399.625621,9476,34015,96.58958213,8,2,4x9
2,44,64,36.69593263,9149.521133,18705,28,64,55.29097355,989.6374487,17706,44808,91.98690618,8,2,5x4
2,24,64,45.64554162,283.3908008,6986,28,64,44.09209775,3261.432311,17345,37093,89.73763937,8,2,9x4
2,44,64,36.44290226,9398.040488,19636,28,64,54.74420331,987.0109,4797,45117,91.18710558,8,2,4x5
2,48,64,36.94166986,9117.150996,18622,28,64,54.89984769,955.3430299,4975,44511,91.84151755,8,2,5x4
2,32,64,48.38705719,181.3273633,2125,28,64,48.15676029,2401.870877,16085,34031,96.54381748,8,2,4x9
2,48,64,37.07793971,9233.507295,18948,28,64,55.3607973,967.9315518,4467,44347,92.43873701,8,2,4x5
2,28,64,47.07775415,220.4713379,9324,28,64,46.8033241,2503.314167,13313,34960,93.88107825,8,2,9x4
2,52,64,37.37055791,8970.033125,18517,28,64,55.18187385,960.6791055,4562,60000,92.55243176,8,2,5x4
2,52,64,37.27448527,9159.957686,18716,28,64,55.41564742,968.6456459,4438,44114,92.69013269,8,2,4x5
2,36,64,49.79892407,190.1745117,1768,28,64,47.65729396,2393.719845,17871,34384,97.45621803,8,2,4x9
2,32,64,44.44323884,287.8264844,10671,28,64,44.17856462,3049.217182,15600,37023,88.62180346,8,2,9x4
2,56,64,37.47398275,9058.672061,18236,28,64,54.35346156,979.1752091,19090,60000,91.82744432,8,2,5x4
2,56,64,37.21437332,9152.940947,18739,28,64,55.32303285,966.3063151,4487,44185,92.53740617,8,2,4x5
2,40,64,50.37727088,181.372002,2110,28,64,47.71196611,2415.489504,16808,34345,98.08923699,8,2,4x9
