rn_w_tracker_outstanding,rn_r_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,share_tracker_ostd,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,TotalBandWidth,FinishCycle,eject_queues_len,inject_queues_len,sdma-R-DDR_thoughput,sdma-W-l2m_thoughput,gdam-R-L2M_thoughput,sdma-R-DDR_finish_cycle,sdma-W-l2m_finish_cycle,gdam-R-L2M_finish_cycle,sdma-R-DDR_avg_latency,sdma-W-l2m_avg_latency,gdam-R-L2M_avg_latency,cir_h_total,cir_v_total,Topo
32,16,46.66212495,3533.739212,12349,1000,1000,55.77235253,3191.433075,6536,102.4344775,44978,8,5,110.9782528,94.83060306,112.2012687,18807,22220,18602,425.4130995,137.1852752,130.3694346,34555,488,4x5
28,16,66.82658849,786.1972198,4176,1000,1000,40.00518866,6558.047897,13929,106.8317772,52434,8,5,319.9682649,534.4083583,0,26217,15697,0,388.0313416,141.0729675,0,11,882,4x9
36,16,46.67251,3384.67511,12208,1000,1000,55.47140666,3439.932953,6635,102.1439167,44968,8,5,110.3796076,93.99304131,111.3750267,18909,22418,18740,438.7613149,136.4265581,123.6634368,34716,456,5x4
36,16,46.73908393,3358.077499,12284,1000,1000,55.50664338,3347.603531,6638,102.2457273,44904,8,5,111.0254801,94.72402787,111.1259717,18799,22245,18782,431.3149761,137.1521079,130.990065,33909,461,4x5
28,16,60.10064768,583.8485565,6670,1000,1000,38.65860493,7226.947968,14842,98.7592526,54260,8,5,309.2004423,480.63989,0,27130,17453,0,401.4845886,163.7331848,0,82264,342,9x4
32,16,66.30262409,791.2290344,4208,1000,1000,40.01587544,6559.681763,13922,106.3184995,52420,8,5,320.05372,530.2198344,0,26210,15821,0,388.0574036,141.1003723,0,19,943,4x9
40,16,46.21175036,3403.593018,12542,1000,1000,55.19111532,3487.091736,6725,101.4028657,45416,8,5,109.8393853,93.33522325,110.8015077,19002,22576,18837,425.4291672,136.1507715,138.8986876,35305,399,5x4
40,16,46.78078916,3501.357758,12368,1000,1000,55.77531915,3203.928574,6538,102.5561083,44864,8,5,110.984154,94.26214548,113.2176838,18806,22354,18435,423.8915737,136.7006439,129.588495,34607,404,4x5
32,16,59.96660185,580.2727814,6552,1000,1000,38.59315421,7244.165695,14888,98.55975607,54352,8,5,308.677068,479.5682598,0,27176,17492,0,401.859314,164.7424927,0,85016,401,9x4
44,16,46.6891357,3436.730072,12233,1000,1000,55.58019718,3345.022705,6601,102.2693329,44952,8,5,110.5960153,93.8005698,112.7163147,18872,22464,18517,432.4690298,136.4317823,126.5347725,34652,424,5x4
36,16,67.18626257,790.0151367,4022,1000,1000,39.9914569,6558.91626,13938,107.1777195,52452,8,5,319.8584611,537.2835458,0,26226,15613,0,388.0327148,140.9411926,0,17,836,4x9
44,16,46.26884719,3384.104584,12589,1000,1000,55.04624915,3363.114487,6780,101.3150963,45360,8,5,109.5338756,93.75466073,110.9192751,19055,22475,18817,425.5162517,137.0424007,138.1376181,34119,492,4x5
48,16,46.74950326,3383.592987,12186,1000,1000,54.9913992,3489.860474,6792,101.7409025,44894,8,5,110.233865,94.15263628,110.0710895,18934,22380,18962,425.0379002,136.5615357,139.5676438,35002,419,5x4
48,16,46.32608528,3513.958603,12553,1000,1000,55.69237306,3269.392273,6562,102.0184583,45304,8,5,110.8191568,94.77515405,111.7806341,18834,22233,18672,432.8369925,136.9425343,125.7515025,35217,402,4x5
36,16,60.88584369,577.7421417,6326,1000,1000,38.56902196,7242.064758,14905,99.45486565,54386,8,5,308.4840952,486.9171117,0,27193,17228,0,401.8536682,164.6451416,0,84349,398,9x4
40,16,67.47159127,766.8459625,3924,1000,1000,39.9914569,6557.668411,13938,107.4630482,52452,8,5,319.8584611,539.5644176,0,26226,15547,0,388.0001221,141.0162964,0,4,809,4x9
52,16,46.9126485,3391.311707,12173,1000,1000,55.28714542,3339.619339,6697,102.1997939,44738,8,5,110.0130719,94.19893603,112.4248855,18972,22369,18565,438.483135,136.5661524,118.4276953,33484,378,5x4
52,16,46.59369937,3531.156799,12435,1000,1000,56.19378349,3221.961487,6401,102.7874829,45044,8,5,111.8165649,94.73254507,112.9970224,18666,22243,18471,422.7831473,137.1535658,132.1490249,35598,544,4x5
40,16,59.24158192,589.8695068,6991,1000,1000,38.56334817,7217.905136,14909,97.80493009,54394,8,5,308.4387249,473.7720547,0,27197,17706,0,401.2672424,163.6629333,0,82845,365,9x4
44,16,67.77687286,785.7828064,3901,1000,1000,40.00061036,6557.273407,13932,107.7774832,52440,8,5,319.9316552,542.0047813,0,26220,15477,0,387.995697,141.0964661,0,7,778,4x9
