network_frequency,share_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,Topo
2,24,38.9223000089689,4587.708541870117,12654,24,61.59030968434871,451.6053757440476,2361,27110,100.51260969331761,4x9
2,24,22.535482484418655,17348.898071289062,29323,24,57.446126447016916,582.5858599950396,4718,46690,79.98160893143557,5x4
2,24,22.50452848006181,17677.268814086914,29695,24,57.906984572230016,602.2143167162699,4488,46753,80.41151305229182,4x5
2,24,31.45853834153366,7006.713119506836,18876,24,60.393891521853604,576.2804129464286,3884,33490,91.85242986338727,9x4
2,28,24.510892940626462,15448.881301879883,25935,24,57.02403182144633,612.9278428819445,4842,42940,81.53492476207279,5x4
2,28,24.715410361570736,15074.19253540039,25077,24,56.24717999019127,652.6739521329365,5126,42585,80.962590351762,4x5
2,28,36.956190854764834,4276.141738891602,13841,24,60.663649720834556,519.448490203373,2905,28543,97.6198405755994,4x9
2,28,34.85146408747964,5811.616317749023,16391,24,60.503634232121925,603.9049789186508,4033,30245,95.35509831960157,9x4
2,32,25.78698079335022,14316.450485229492,23650,24,56.225732650615534,629.5746682787699,5434,40823,82.01271344396575,5x4
2,32,26.293279839518554,13982.903381347656,22957,24,56.155377835808714,638.9533110119048,5079,40039,82.44865767532727,4x5
2,32,37.49009155002791,4963.9027099609375,15068,24,61.8042033411173,491.24046688988096,3025,28139,99.29429489114521,4x9
2,32,37.91769725898604,4722.855422973633,14017,24,60.070534830937554,695.6404079861111,4265,27812,97.9882320899236,9x4
2,36,27.904728956542566,13628.099899291992,20615,24,57.89724029616334,619.0446273561508,4666,37737,85.8019692527059,5x4
2,36,28.141381068677706,13389.117416381836,20845,24,57.612860013395846,635.4102647569445,4597,37420,85.75424108207355,4x5
2,36,43.40178315832462,2210.705535888672,10393,24,56.24717999019127,860.6417255704365,5015,24330,99.64896314851589,4x9
2,40,27.69029259533115,13110.252548217773,21244,24,56.19512195121951,637.2605871775794,5505,38028,83.88541454655066,5x4
2,40,29.067361534623274,12556.263732910156,19146,24,56.62362170168413,669.1146298363095,5001,36233,85.6909832363074,4x5
2,36,38.01116508373813,3077.307098388672,14105,24,54.75529149647234,961.683841765873,6355,27744,92.76645658021047,9x4
2,40,41.779411529661424,2897.4515686035156,13096,24,59.15140401146132,726.1120256696429,3783,25268,100.93081554112274,4x9
2,44,28.99502267448291,12453.591613769531,19639,24,56.06387485742219,656.7162543402778,5560,36324,85.0588975319051,5x4
